id,label
0,1
1,0
2,0
3,1
4,4
5,3
6,1
7,0
8,4
9,4
10,0
11,0
12,1
13,4
14,1
15,3
16,4
17,3
18,3
19,2
20,4
21,3
22,1
23,4
24,4
25,0
26,2
27,0
28,1
29,4
30,0
31,0
32,4
33,4
34,4
35,2
36,3
37,3
38,2
39,1
40,3
41,4
42,2
43,0
44,3
45,3
46,2
47,0
48,1
49,3
50,4
51,0
52,0
53,2
54,2
55,1
56,3
57,4
58,4
59,4
60,3
61,0
62,1
63,1
64,1
65,0
66,1
67,3
68,1
69,1
70,1
71,2
72,4
73,2
74,0
75,4
76,1
77,1
78,0
79,1
80,4
81,1
82,0
83,2
84,4
85,3
86,3
87,3
88,0
89,0
90,1
91,4
92,3
93,2
94,0
95,1
96,3
97,0
98,0
99,3
100,1
101,0
102,4
103,1
104,3
105,3
106,4
107,0
108,3
109,3
110,2
111,2
112,2
113,2
114,3
115,4
116,1
117,4
118,1
119,1
120,0
121,3
122,4
123,1
124,4
125,1
126,2
127,1
128,1
129,3
130,0
131,3
132,0
133,0
134,3
135,0
136,3
137,4
138,4
139,1
140,3
141,4
142,2
143,4
144,4
145,3
146,3
147,0
148,4
149,2
150,1
151,1
152,4
153,2
154,3
155,0
156,3
157,1
158,2
159,4
160,0
161,1
162,2
163,2
164,4
165,4
166,4
167,0
168,1
169,0
170,4
171,3
172,3
173,3
174,4
175,3
176,4
177,3
178,2
179,4
180,1
181,1
182,0
183,0
184,3
185,3
186,0
187,0
188,2
189,1
190,4
191,2
192,4
193,3
194,4
195,0
196,4
197,0
198,4
199,0
200,0
201,4
202,4
203,3
204,3
205,3
206,4
207,4
208,1
209,3
210,0
211,4
212,2
213,1
214,4
215,0
216,3
217,0
218,4
219,3
220,1
221,4
222,2
223,0
224,3
225,1
226,1
227,0
228,2
229,3
230,3
231,0
232,1
233,1
234,1
235,0
236,2
237,1
238,3
239,4
240,4
241,2
242,4
243,1
244,1
245,4
246,0
247,2
248,4
249,0
250,4
251,1
252,4
253,1
254,4
255,0
256,1
257,3
258,3
259,4
260,3
261,0
262,3
263,1
264,3
265,3
266,3
267,3
268,1
269,4
270,2
271,1
272,1
273,4
274,1
275,4
276,3
277,0
278,4
279,0
280,4
281,2
282,1
283,0
284,0
285,3
286,1
287,4
288,3
289,1
290,4
291,2
292,4
293,3
294,4
295,0
296,0
297,3
298,3
299,0
300,4
301,4
302,0
303,3
304,4
305,4
306,1
307,4
308,4
309,0
310,1
311,0
312,0
313,3
314,4
315,2
316,3
317,1
318,0
319,4
320,4
321,2
322,4
323,0
324,0
325,3
326,4
327,0
328,4
329,3
330,2
331,2
332,3
333,3
334,4
335,0
336,2
337,4
338,4
339,1
340,4
341,3
342,1
343,3
344,3
345,1
346,2
347,0
348,4
349,0
350,1
351,4
352,3
353,0
354,3
355,0
356,0
357,3
358,0
359,4
360,3
361,3
362,0
363,4
364,3
365,4
366,1
367,4
368,0
369,4
370,2
371,0
372,0
373,2
374,4
375,3
376,4
377,0
378,0
379,3
380,3
381,1
382,2
383,4
384,0
385,2
386,0
387,2
388,2
389,4
390,4
391,3
392,4
393,1
394,4
395,3
396,4
397,4
398,3
399,0
400,1
401,4
402,4
403,3
404,4
405,3
406,0
407,2
408,0
409,3
410,2
411,0
412,1
413,2
414,4
415,4
416,2
417,4
418,1
419,0
420,2
421,1
422,4
423,0
424,4
425,0
426,2
427,1
428,4
429,3
430,1
431,4
432,0
433,2
434,3
435,1
436,1
437,4
438,1
439,4
440,3
441,2
442,4
443,3
444,2
445,2
446,4
447,3
448,3
449,3
450,4
451,3
452,0
453,0
454,3
455,4
456,0
457,0
458,2
459,3
460,3
461,4
462,4
463,2
464,1
465,0
466,2
467,4
468,2
469,4
470,0
471,2
472,2
473,2
474,4
475,2
476,1
477,0
478,2
479,0
480,1
481,2
482,4
483,1
484,2
485,1
486,4
487,1
488,1
489,0
490,2
491,3
492,2
493,0
494,4
495,2
496,3
497,1
498,0
499,4
500,4
501,3
502,1
503,4
504,1
505,0
506,0
507,4
508,0
509,2
510,3
511,0
512,3
513,4
514,1
515,3
516,4
517,0
518,4
519,0
520,1
521,0
522,2
523,3
524,2
525,0
526,1
527,3
528,3
529,3
530,1
531,4
532,4
533,1
534,4
535,1
536,0
537,2
538,0
539,4
540,1
541,4
542,0
543,3
544,0
545,0
546,4
547,3
548,0
549,3
550,3
551,4
552,1
553,1
554,0
555,1
556,2
557,4
558,1
559,3
560,2
561,3
562,3
563,3
564,3
565,3
566,0
567,0
568,3
569,0
570,1
571,3
572,0
573,3
574,4
575,2
576,2
577,0
578,2
579,3
580,0
581,3
582,4
583,3
584,2
585,1
586,3
587,0
588,2
589,0
590,4
591,3
592,0
593,1
594,4
595,1
596,3
597,2
598,1
599,0
600,4
601,1
602,4
603,3
604,3
605,1
606,3
607,4
608,4
609,1
610,2
611,0
612,4
613,4
614,3
615,4
616,4
617,2
618,4
619,0
620,4
621,0
622,4
623,0
624,1
625,0
626,3
627,4
628,0
629,2
630,2
631,1
632,2
633,0
634,1
635,4
636,3
637,1
638,4
639,3
640,0
641,2
642,4
643,0
644,4
645,1
646,0
647,1
648,3
649,1
650,3
651,4
652,4
653,1
654,4
655,0
656,3
657,3
658,3
659,4
660,0
661,2
662,1
663,4
664,4
665,0
666,2
667,4
668,2
669,1
670,1
671,1
672,3
673,3
674,0
675,1
676,1
677,2
678,4
679,0
680,1
681,1
682,4
683,4
684,3
685,4
686,4
687,1
688,3
689,1
690,1
691,0
692,1
693,3
694,4
695,1
696,4
697,3
698,4
699,4
700,1
701,0
702,1
703,4
704,0
705,4
706,1
707,3
708,4
709,3
710,0
711,0
712,1
713,3
714,3
715,0
716,2
717,3
718,4
719,3
720,1
721,3
722,0
723,2
724,4
725,3
726,2
727,4
728,4
729,1
730,1
731,3
732,0
733,2
734,4
735,1
736,0
737,4
738,0
739,1
740,4
741,2
742,0
743,0
744,0
745,1
746,4
747,4
748,1
749,4
750,0
751,0
752,1
753,4
754,2
755,4
756,4
757,3
758,0
759,1
760,3
761,4
762,2
763,4
764,0
765,1
766,3
767,2
768,4
769,3
770,3
771,0
772,3
773,3
774,1
775,1
776,3
777,3
778,0
779,0
780,4
781,3
782,1
783,3
784,4
785,3
786,3
787,0
788,0
789,3
790,1
791,2
792,3
793,4
794,1
795,0
796,0
797,4
798,3
799,0
800,0
801,4
802,0
803,4
804,4
805,4
806,0
807,4
808,4
809,3
810,3
811,4
812,1
813,3
814,3
815,0
816,3
817,2
818,0
819,4
820,4
821,4
822,4
823,4
824,4
825,2
826,0
827,4
828,0
829,4
830,2
831,2
832,3
833,2
834,3
835,1
836,4
837,0
838,2
839,1
840,4
841,1
842,4
843,0
844,3
845,4
846,0
847,3
848,0
849,3
850,3
851,4
852,4
853,4
854,0
855,3
856,2
857,3
858,3
859,1
860,4
861,4
862,0
863,3
864,1
865,4
866,4
867,3
868,1
869,0
870,0
871,0
872,0
873,4
874,1
875,0
876,0
877,2
878,4
879,4
880,4
881,3
882,4
883,4
884,4
885,0
886,1
887,4
888,2
889,4
890,2
891,4
892,0
893,0
894,2
895,0
896,1
897,0
898,2
899,0
900,1
901,4
902,3
903,3
904,3
905,3
906,0
907,0
908,3
909,4
910,1
911,3
912,4
913,3
914,3
915,3
916,0
917,3
918,4
919,0
920,3
921,4
922,0
923,0
924,4
925,2
926,0
927,2
928,1
929,1
930,0
931,3
932,2
933,3
934,2
935,3
936,2
937,1
938,1
939,4
940,2
941,1
942,4
943,2
944,0
945,3
946,0
947,0
948,0
949,0
950,4
951,0
952,3
953,4
954,1
955,4
956,0
957,3
958,2
959,1
960,0
961,4
962,1
963,1
964,0
965,1
966,0
967,2
968,1
969,1
970,2
971,0
972,4
973,3
974,1
975,4
976,0
977,4
978,3
979,0
980,4
981,1
982,2
983,3
984,3
985,1
986,4
987,4
988,1
989,4
990,3
991,1
992,0
993,3
994,3
995,1
996,0
997,0
998,2
999,2
1000,0
1001,1
1002,0
1003,3
1004,1
1005,2
1006,2
1007,3
1008,1
1009,2
1010,1
1011,0
1012,0
1013,4
1014,2
1015,4
1016,1
1017,3
1018,2
1019,3
1020,2
1021,1
1022,0
1023,1
1024,3
1025,3
1026,3
1027,0
1028,2
1029,2
1030,2
1031,3
1032,1
1033,3
1034,4
1035,0
1036,1
1037,1
1038,3
1039,0
1040,0
1041,3
1042,1
1043,4
1044,3
1045,3
1046,4
1047,0
1048,4
1049,2
1050,4
1051,4
1052,4
1053,1
1054,0
1055,4
1056,1
1057,3
1058,4
1059,0
1060,1
1061,0
1062,2
1063,4
1064,4
1065,3
1066,4
1067,0
1068,2
1069,0
1070,1
1071,0
1072,1
1073,2
1074,0
1075,4
1076,1
1077,3
1078,0
1079,4
1080,3
1081,0
1082,4
1083,4
1084,3
1085,0
1086,0
1087,0
1088,3
1089,1
1090,4
1091,0
1092,4
1093,3
1094,3
1095,3
1096,2
1097,4
1098,1
1099,4
1100,4
1101,0
1102,3
1103,4
1104,3
1105,4
1106,1
1107,0
1108,3
1109,3
1110,3
1111,2
1112,1
1113,4
1114,2
1115,1
1116,4
1117,4
1118,1
1119,2
1120,3
1121,0
1122,3
1123,4
1124,3
1125,1
1126,1
1127,0
1128,3
1129,0
1130,0
1131,1
1132,3
1133,1
1134,4
1135,0
1136,1
1137,1
1138,3
1139,3
1140,3
1141,3
1142,1
1143,4
1144,0
1145,3
1146,3
1147,2
1148,3
1149,4
1150,0
1151,4
1152,2
1153,3
1154,0
1155,3
1156,4
1157,2
1158,4
1159,4
1160,3
1161,0
1162,3
1163,4
1164,4
1165,3
1166,3
1167,4
1168,0
1169,4
1170,4
1171,4
1172,1
1173,1
1174,3
1175,1
1176,4
1177,3
1178,1
1179,2
1180,3
1181,4
1182,0
1183,0
1184,4
1185,1
1186,3
1187,0
1188,1
1189,1
1190,3
1191,1
1192,1
1193,3
1194,2
1195,0
1196,4
1197,3
1198,1
1199,0
1200,2
1201,0
1202,1
1203,0
1204,0
1205,3
1206,4
1207,0
1208,2
1209,3
1210,0
1211,2
1212,3
1213,1
1214,1
1215,0
1216,4
1217,2
1218,2
1219,3
1220,2
1221,3
1222,2
1223,3
1224,2
1225,2
1226,3
1227,1
1228,3
1229,4
1230,1
